Script Name,Operator Chain
script_104112,ee.Geometry.Polygon->{ee.Image||ee.Image||ee.Geometry.Polygon}
script_104303,ee.FeatureCollection->print->Map.addLayer->print->Map.addLayer->Map.addLayer->print->Map.addLayer->print->Map.addLayer->{ee.Image.clip||ee.Image.clip||ee.Image.clip}->ee.Image.clip->wv21oct_P00123->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer->print->print->wv3.normalizedDifference.rename->wv3.normalizedDifference.rename->sharpen_wv3.normalizedDifference.rename->sharpen_wv3.normalizedDifference.rename->shadow.normalizedDifference.rename->shadow.normalizedDifference.rename->shadow_shift.normalizedDifference.rename->shadow_shift.normalizedDifference.rename->shadow_sharpen.normalizedDifference.rename->shadow_sharpen.normalizedDifference.rename->PAN_shadow_13april.normalizedDifference.rename->PAN_shadow_13april.normalizedDifference.rename->MS_shadow_13april.normalizedDifference.rename->MS_shadow_13april.normalizedDifference.rename->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer
script_104337,{ee.Image||ee.Image}->{ee.FeatureCollection||ee.FeatureCollection}->Map.addLayer->Map.addLayer->require->wv3_old.select.reproject->print->wv3_old_pan.select.reproject->print->wv2.select.reproject->wv2_pan.select.reproject->geeSharp.sharpen->geeSharp.sharpen->print->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer
script_104339,Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer->{ee.Image||ee.Image}->{ee.FeatureCollection||ee.FeatureCollection}->WV2_spare_MS_rec->WV2->WV3->histogramMatch->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer->require->ee.Image->ee.Image->result.select.reproject->print->WV2_spare_PAN_rec.select.reproject->print->geeSharp.sharpen->Map.addLayer->Export.image.toDrive
script_104340,{ee.Image||ee.Image}->{ee.FeatureCollection||ee.FeatureCollection}->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer->ee.ImageCollection.mosaic.clip->ee.ImageCollection.mosaic->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer->{ee.Image||ee.Image||ee.Image||ee.FeatureCollection||ee.FeatureCollection||ee.FeatureCollection||ee.FeatureCollection||ee.FeatureCollection||ee.FeatureCollection}->ee.ImageCollection.mosaic->ee.ImageCollection.mosaic->ee.Image->ee.Image->Map.addLayer->Map.addLayer->Map.addLayer->Map.addLayer->require->WV2_spare_MS_rec.select.reproject->print->WV2_spare_PAN_rec.select.reproject->print->geeSharp.sharpen->Map.addLayer->wv3_old.select.reproject->print->wv3_old_pan.select.reproject->print->wv2.select.reproject->wv2_pan.select.reproject->geeSharp.sharpen->geeSharp.sharpen->print->Map.addLayer->Map.addLayer->Export.image.toDrive
script_10456,{ee.Geometry.Point||ee.Geometry.Polygon}->ee.Date.fromYMD->ee.List->ee.List->independents.length->ee.List->alldependents->dependents.length->independents.cat->ee.Image.constant.float.rename->ee.Array->ee.Number->U.multiply.divide.cos.multiply.add->Lambda.multiply.multiply.add.divide->ee.List.sequence->ee.List->ee.List->ee.ImageCollection->Map.centerObject->ee.Number.divide.sqrt->ee.ImageCollection.filterDate.filterBounds.filterMetadata.map.map.map->s2surf->ui.Chart.image.series.setChartType.setOptions->print->ee.List->ee.List->iter.iterate->ee.ImageCollection->print->fittedseries.map->weightedcollection.merge.select.reduce->dctcomposition.select.arrayFlatten.multiply.short->fittedseries.map->weightedcollection.merge.select.reduce->fittedseries.map->weightedcollection.merge.select.reduce->ee.Date.fromYMD->targetdate1.getFraction->fractionyear.add.multiply->U.multiply.cos.multiply->ee.List->dctcomposition.select.matrixTranspose.matrixMultiply.float.arrayProject.arrayFlatten->simuimage.normalizedDifference.rename->Map.addLayer->Export.image.toDrive
script_104715,ui.Panel->ui.root.insert->ui.Label->ui.Label->panel.add.add->{ee.Geometry.Polygon||ee.Geometry.Polygon||ee.Geometry.Polygon}->{}->ui.Select->ui.Label->panel.add.add->NDVIBIN->applyFilter->ui.Label->ui.Textbox->ui.Label->panel.add.add.add->ui.Slider->NDVIslider.setValue->NDVIslider.onChange->ui.Button->panel.add.add->GREENER->LESSGREEN->ui.Textbox->ui.Textbox->ui.Label->ui.Label->ui.Label->ui.Button->ui.Button->panel.add.add.add.add.add->ui.Button->panel.add->reset
script_10474,{ee.Geometry.Point||ee.Geometry.Polygon}->ee.Date.fromYMD->ee.List->ee.List->independents.length->ee.List->alldependents->dependents.length->independents.cat->ee.Image.constant.float.rename->ee.Array->ee.Number->U.multiply.divide.cos.multiply.add->Lambda.multiply.multiply.add.divide->ee.List.sequence->ee.List->ee.List->ee.ImageCollection->ee.ImageCollection.filterDate.filterBounds.filterMetadata->Map.centerObject->ee.Number.divide.sqrt->ee.ImageCollection.filterDate.filterBounds.filterMetadata.map.map.map->l8surf.map.map.map.merge->ee.List->ee.List->iter.iterate->ee.ImageCollection->print->fittedLandsat.map->weightedcollection.merge.select.reduce->dctcomposition.select.arrayFlatten.multiply.short->Export.image.toDrive->fittedLandsat.map->weightedcollection.merge.select.reduce->dctcomposition.select.arrayFlatten.multiply.short->Map.addLayer->Export.image.toDrive->ee.Date.fromYMD->targetdate1.getFraction->fractionyear.add.multiply->ee.List->dctcomposition.select.matrixTranspose.matrixMultiply.float.arrayProject.arrayFlatten->Export.image.toDrive
script_104876,{ee.FeatureCollection||ee.FeatureCollection||ee.FeatureCollection||ee.FeatureCollection||ee.FeatureCollection||ee.FeatureCollection||ee.FeatureCollection||ee.FeatureCollection||ee.FeatureCollection||ee.FeatureCollection||ee.FeatureCollection||ee.FeatureCollection||ee.FeatureCollection||ee.FeatureCollection||ee.FeatureCollection||ee.FeatureCollection||ee.FeatureCollection}->ee.FeatureCollection->ee.FeatureCollection->HUC10.filterMetadata->HUC08.filterMetadata->HUC10.filterMetadata->HUC10.filterMetadata->HUC10.filterMetadata->HUC10.filterMetadata->HUC10.filterMetadata->setExtent.merge->ee.ImageCollection.filterDate.map.filterBounds->t3.select.mean->image.clip->image_clip1.reproject->ee.Image.select.clip->nlcd2.remap->image_clip2.clipToCollection.updateMask->ee.Image.clip->ee.Algorithms.Terrain.select->slope.reduceNeighborhood->slopeKern.toFloat->image_clip.updateMask->ee.Image->print->CDL.select.clip->CDLyear.remap->print->CDL.select.clip->cropMask.updateMask->clipped.updateMask->Mask.clip->Mask_all.clip->Mask_TD.mask->Mask_all.updateMask->Mask_UD.addBands->Map.addLayer->Map.addLayer->ui.Chart.image.histogram.setSeriesNames.setOptions->print->Mask_TD.reduceRegion->print->Mask_TD.reduceRegion->print->Mask_TD.reduceRegion->ee.Number->print->Mask_UD.reduceRegion->print->Mask_UD.reduceRegion->print->Mask_UD.reduceRegion->ee.Number->print->Mask.reduceRegion->print->Mask.reduceRegion->print->Mask.reduceRegion->ee.Number->print
script_105007,{ee.FeatureCollection||ee.FeatureCollection}->G1.merge->ee.FeatureCollection.filter->ee.Filter.date->ee.Filter.date->ee.Filter.date->ee.Filter.date->ee.Filter.date->ee.Filter.or->ee.ImageCollection.select.filter.filterBounds->print->collection.mean.clip.multiply->print->Map.addLayer->Map.setCenter->Export.image.toDrive->CH4.reproject.clip->ee.Image.pixelLonLat.reproject->coordsImage.addBands->joinedImage.reduceRegion.values.get->ee.FeatureCollection->print->Export.table.toDrive
